label,message,source
0,Thank you for shopping with Bon Marche.,dataset1
1,Your BancABC account requires immediate verification. Click here: http://wallet-authentication.net,dataset1
1,URGENT: Your EcoCash account has been suspended. Verify now at http://secure-login-update.com,dataset1
1,Your Steward Bank account requires immediate verification. Click here: http://wallet-authentication.net,dataset1
1,Your Steward Bank account requires immediate verification. Click here: http://account-update-alert.com,dataset1
0,Airtime recharge successful.,dataset1
0,Your parcel is ready for collection at Avondale.,dataset1
1,Your CBZ account requires immediate verification. Click here: http://account-update-alert.com,dataset1
0,Your OTP for Steward Bank banking is 728655. Do not share this code.,dataset1
0,Electricity outage scheduled for tonight from 8 PM.,dataset1
1,Your Steward Bank account requires immediate verification. Click here: http://verify-account-security.com,dataset1
1,URGENT: Your EcoCash account has been suspended. Verify now at http://verify-account-security.com,dataset1
1,Congratulations! You have won USD50. Claim your reward now.,dataset1
0,EcoCash transfer of USD500 completed successfully.,dataset1
1,Act now to avoid account suspension.,dataset1
0,Your account balance is USD50.,dataset1
0,Mukuru transfer of USD100 completed successfully.,dataset1
0,The bus will arrive in 10 minutes.,dataset1
1,"Dear customer, update your OneMoney wallet PIN immediately at http://wallet-authentication.net",dataset1
0,Your OTP for CBZ banking is 703763. Do not share this code.,dataset1
1,"Dear customer, update your PayNow wallet PIN immediately at http://verify-account-security.com",dataset1
0,Meeting moved to 9 AM today.,dataset1
0,Your OTP for NMB banking is 170714. Do not share this code.,dataset1
0,Your OTP for Steward Bank banking is 211515. Do not share this code.,dataset1
1,We noticed unauthorized activity in your account. Login immediately.,dataset1
0,Your account balance is USD100.,dataset1
0,Thank you for shopping with TM Pick n Pay.,dataset1
1,Your WhatsApp account has been compromised. Verify identity immediately.,dataset1
0,Your OTP for CBZ banking is 902020. Do not share this code.,dataset1
0,Can you send me the assignment notes later?,dataset1
0,Your OTP for CBZ banking is 817952. Do not share this code.,dataset1
0,Your OTP for NMB banking is 825343. Do not share this code.,dataset1
1,"Dear customer, update your PayNow wallet PIN immediately at http://wallet-authentication.net",dataset1
1,"Dear customer, update your OneMoney wallet PIN immediately at http://account-update-alert.com",dataset1
1,Suspicious login detected on your account. Secure it now.,dataset1
0,Your OTP for Steward Bank banking is 162381. Do not share this code.,dataset1
1,"Dear customer, update your Mukuru wallet PIN immediately at http://wallet-authentication.net",dataset1
1,URGENT: Your Mukuru account has been suspended. Verify now at http://account-update-alert.com,dataset1
0,Your account balance is USD500.,dataset1
0,Exam timetable has been released.,dataset1
1,Your CBZ account requires immediate verification. Click here: http://secure-login-update.com,dataset1
1,URGENT: Your PayNow account has been suspended. Verify now at http://secure-login-update.com,dataset1
0,Please remember our meeting tomorrow.,dataset1
1,"Dear customer, update your Mukuru wallet PIN immediately at http://secure-login-update.com",dataset1
0,Thank you for shopping with OK Zimbabwe.,dataset1
0,OneMoney transfer of USD500 completed successfully.,dataset1
1,Your package delivery failed. Confirm address here: http://verify-account-security.com,dataset1
1,Your package delivery failed. Confirm address here: http://account-update-alert.com,dataset1
1,"Dear customer, update your OneMoney wallet PIN immediately at http://verify-account-security.com",dataset1
1,Your BancABC account requires immediate verification. Click here: http://secure-login-update.com,dataset1
0,PayNow transfer of USD100 completed successfully.,dataset1
0,Meeting moved to 10 AM today.,dataset1
1,Your BancABC account requires immediate verification. Click here: http://verify-account-security.com,dataset1
1,Your NMB account requires immediate verification. Click here: http://wallet-authentication.net,dataset1
0,Your OTP for BancABC banking is 842394. Do not share this code.,dataset1
0,Lunch was great today thank you.,dataset1
1,Limited-time government grant available. Register now.,dataset1
0,EcoCash transfer of USD50 completed successfully.,dataset1
0,PayNow transfer of USD50 completed successfully.,dataset1
0,Meeting moved to 4 PM today.,dataset1
1,Your package delivery failed. Confirm address here: http://secure-login-update.com,dataset1
1,URGENT: Your PayNow account has been suspended. Verify now at http://account-update-alert.com,dataset1
1,Congratulations! You have won USD100. Claim your reward now.,dataset1
1,Your Steward Bank account requires immediate verification. Click here: http://secure-login-update.com,dataset1
0,Your ZESA token purchase was successful.,dataset1
0,Your OTP for Steward Bank banking is 590266. Do not share this code.,dataset1
1,URGENT: Your PayNow account has been suspended. Verify now at http://wallet-authentication.net,dataset1
0,Your account balance is USD250.,dataset1
0,Your parcel is ready for collection at Borrowdale.,dataset1
