label,message,feature_notes
smishing,You have received a tax refund. Submit banking details to receive payment.,"fear, urgency"
smishing,You have received a tax refund. Submit banking details to receive payment.,"impersonation, credential_request"
benign,Happy birthday! Wishing you a wonderful day ahead.,banking_notification
smishing,Your SIM card will be blocked within 24 hours unless verified.,"obfuscation, malicious_pattern"
smishing,Act now to avoid account suspension.,"impersonation, credential_request"
smishing,Limited-time government grant available. Register now.,"impersonation, credential_request"
smishing,Act now to avoid account suspension.,"financial_lure, persuasion"
benign,Your data bundle purchase was successful.,otp_notification
benign,Exam timetable has been released.,otp_notification
benign,Electricity outage scheduled for tonight from 8 PM.,otp_notification
benign,Your data bundle purchase was successful.,personal_message
benign,Airtime recharge successful.,personal_message
benign,Airtime recharge successful.,otp_notification
smishing,Your NMB account requires immediate verification. Click here: http://account-update-alert.com,"urgency, malicious_url"
benign,Airtime recharge successful.,personal_message
smishing,We noticed unauthorized activity in your account. Login immediately.,"fear, urgency"
smishing,Final warning: Your mobile banking access will be terminated today.,"fear, urgency"
benign,Please remember our meeting tomorrow.,reminder
benign,Exam timetable has been released.,reminder
smishing,Your package delivery failed. Confirm address here: http://account-update-alert.com,"urgency, malicious_url"
smishing,Final warning: Your mobile banking access will be terminated today.,"obfuscation, malicious_pattern"
smishing,"Dear customer, update your Mukuru wallet PIN immediately at http://wallet-authentication.net","urgency, malicious_url"
benign,Your OTP for BancABC banking is 842394. Do not share this code.,personal_message
smishing,Your package delivery failed. Confirm address here: http://account-update-alert.com,"impersonation, credential_request"
smishing,Final warning: Your mobile banking access will be terminated today.,"obfuscation, malicious_pattern"
smishing,Act now to avoid account suspension.,"impersonation, credential_request"
smishing,Your WhatsApp account has been compromised. Verify identity immediately.,"obfuscation, malicious_pattern"
smishing,Your WhatsApp account has been compromised. Verify identity immediately.,"obfuscation, malicious_pattern"
smishing,Act now to avoid account suspension.,"impersonation, credential_request"
benign,Your data bundle purchase was successful.,banking_notification
benign,Your data bundle purchase was successful.,reminder
benign,Your OTP for BancABC banking is 584209. Do not share this code.,otp_notification
benign,Happy birthday! Wishing you a wonderful day ahead.,banking_notification
benign,Reminder: Your appointment is scheduled for tomorrow at 2 PM.,reminder
benign,Lunch was great today thank you.,reminder
benign,Your data bundle purchase was successful.,personal_message
benign,Thank you for shopping with OK Zimbabwe.,personal_message
smishing,URGENT: Your Mukuru account has been suspended. Verify now at http://account-update-alert.com,"financial_lure, persuasion"
benign,Airtime recharge successful.,personal_message
benign,Your ZESA token purchase was successful.,reminder
benign,Reminder: Your appointment is scheduled for tomorrow at 9 AM.,transactional_sms
smishing,Win a free iPhone today by completing verification.,"impersonation, credential_request"
benign,Your OTP for CBZ banking is 703763. Do not share this code.,otp_notification
benign,Thank you for shopping with OK Zimbabwe.,banking_notification
smishing,Congratulations! You have won USD500. Claim your reward now.,"financial_lure, persuasion"
benign,Your ZESA token purchase was successful.,otp_notification
smishing,Congratulations! You have won USD50. Claim your reward now.,"impersonation, credential_request"
smishing,Limited-time government grant available. Register now.,"obfuscation, malicious_pattern"
benign,Your parcel is ready for collection at Borrowdale.,personal_message
benign,Lunch was great today thank you.,transactional_sms
benign,Lunch was great today thank you.,banking_notification
smishing,Your SIM card will be blocked within 24 hours unless verified.,"fear, urgency"
smishing,Final warning: Your mobile banking access will be terminated today.,"urgency, malicious_url"
smishing,Act now to avoid account suspension.,"obfuscation, malicious_pattern"
benign,Your account balance is USD50.,reminder
benign,Reminder: Your appointment is scheduled for tomorrow at 2 PM.,personal_message
benign,Can you send me the assignment notes later?,reminder
smishing,URGENT: Your PayNow account has been suspended. Verify now at http://secure-login-update.com,"impersonation, credential_request"
smishing,Your package delivery failed. Confirm address here: http://wallet-authentication.net,"fear, urgency"
smishing,Congratulations! You have won USD250. Claim your reward now.,"fear, urgency"
smishing,Limited-time government grant available. Register now.,"financial_lure, persuasion"
smishing,Your WhatsApp account has been compromised. Verify identity immediately.,"fear, urgency"
benign,Your account balance is USD100.,otp_notification
smishing,Limited-time government grant available. Register now.,"obfuscation, malicious_pattern"
benign,Can you send me the assignment notes later?,banking_notification
benign,EcoCash transfer of USD250 completed successfully.,otp_notification
benign,Thank you for shopping with OK Zimbabwe.,reminder
smishing,Your package delivery failed. Confirm address here: http://wallet-authentication.net,"fear, urgency"
smishing,Congratulations! You have won USD500. Claim your reward now.,"urgency, malicious_url"
benign,Your OTP for NMB banking is 889814. Do not share this code.,otp_notification
smishing,We noticed unauthorized activity in your account. Login immediately.,"fear, urgency"
smishing,Suspicious login detected on your account. Secure it now.,"fear, urgency"
benign,Exam timetable has been released.,banking_notification
smishing,We noticed unauthorized activity in your account. Login immediately.,"obfuscation, malicious_pattern"
smishing,Your CBZ account requires immediate verification. Click here: http://verify-account-security.com,"financial_lure, persuasion"
smishing,Congratulations! You have won USD250. Claim your reward now.,"fear, urgency"
smishing,Your NMB account requires immediate verification. Click here: http://wallet-authentication.net,"obfuscation, malicious_pattern"
benign,Your account balance is USD500.,personal_message
benign,Airtime recharge successful.,personal_message
smishing,You have received a tax refund. Submit banking details to receive payment.,"urgency, malicious_url"
smishing,Your package delivery failed. Confirm address here: http://account-update-alert.com,"financial_lure, persuasion"
benign,Your parcel is ready for collection at Avondale.,reminder
benign,Thank you for shopping with OK Zimbabwe.,transactional_sms
benign,Electricity outage scheduled for tonight from 8 PM.,transactional_sms
smishing,Your SIM card will be blocked within 24 hours unless verified.,"obfuscation, malicious_pattern"
benign,Meeting moved to 2 PM today.,reminder
benign,Reminder: Your appointment is scheduled for tomorrow at 10 AM.,banking_notification
smishing,Your SIM card will be blocked within 24 hours unless verified.,"impersonation, credential_request"
benign,Exam timetable has been released.,reminder
benign,Can you send me the assignment notes later?,personal_message
benign,Airtime recharge successful.,otp_notification
smishing,Act now to avoid account suspension.,"impersonation, credential_request"
benign,PayNow transfer of USD50 completed successfully.,banking_notification
smishing,Congratulations! You have won USD100. Claim your reward now.,"fear, urgency"
benign,The bus will arrive in 10 minutes.,reminder
smishing,Your WhatsApp account has been compromised. Verify identity immediately.,"fear, urgency"
smishing,You have received a tax refund. Submit banking details to receive payment.,"urgency, malicious_url"
benign,Electricity outage scheduled for tonight from 8 PM.,otp_notification
smishing,Act now to avoid account suspension.,"obfuscation, malicious_pattern"
benign,Airtime recharge successful.,transactional_sms
benign,Exam timetable has been released.,personal_message
smishing,Your CBZ account requires immediate verification. Click here: http://secure-login-update.com,"financial_lure, persuasion"
smishing,Your WhatsApp account has been compromised. Verify identity immediately.,"obfuscation, malicious_pattern"
benign,Meeting moved to 4 PM today.,otp_notification
benign,Your data bundle purchase was successful.,banking_notification
benign,Your parcel is ready for collection at Avondale.,reminder
smishing,Your CBZ account requires immediate verification. Click here: http://account-update-alert.com,"urgency, malicious_url"
smishing,Cl1ck h3re to v3rify your acc0unt immediately.,"urgency, malicious_url"
benign,Airtime recharge successful.,banking_notification
benign,Exam timetable has been released.,personal_message
benign,Your parcel is ready for collection at CBD Harare.,banking_notification
smishing,"Dear customer, update your Mukuru wallet PIN immediately at http://secure-login-update.com","obfuscation, malicious_pattern"
benign,Electricity outage scheduled for tonight from 8 PM.,reminder
smishing,URGENT: Your PayNow account has been suspended. Verify now at http://wallet-authentication.net,"urgency, malicious_url"
benign,The bus will arrive in 10 minutes.,personal_message
benign,Please remember our meeting tomorrow.,transactional_sms
benign,Your ZESA token purchase was successful.,banking_notification
benign,Please remember our meeting tomorrow.,otp_notification
smishing,Congratulations! You have won USD250. Claim your reward now.,"fear, urgency"
smishing,Your SIM card will be blocked within 24 hours unless verified.,"obfuscation, malicious_pattern"
benign,The bus will arrive in 10 minutes.,transactional_sms
benign,Your account balance is USD50.,transactional_sms
benign,Your OTP for Steward Bank banking is 211515. Do not share this code.,otp_notification
smishing,Your package delivery failed. Confirm address here: http://verify-account-security.com,"financial_lure, persuasion"
smishing,You have received a tax refund. Submit banking details to receive payment.,"urgency, malicious_url"
