label,message,source
0,Church service starts at 9AM this Sunday in Bindura.,dissertation
0,Class timetable updated. Please check the university portal.,dissertation
1,Congratulations! You won USD500 EcoCash reward. Claim now.,dissertation
1,Customer Service: Your account has unusual login attempts. Confirm password urgently.,dissertation
1,EcoCash: Your wallet has been suspended. Confirm PIN immediately.,dissertation
1,Econet Alert: Your line will be disconnected in 24 hours. Verify now at http://econet-security-update.com,dissertation
0,Econet: You have successfully purchased a WhatsApp bundle.,dissertation
1,Final warning: SIM registration incomplete. Update details immediately.,dissertation
0,Happy birthday! Wishing you a wonderful year ahead.,dissertation
1,NetOne Promotion! Claim your free airtime reward here: bit.ly/free-netone,dissertation
0,NetOne: Recharge successful. You received 500MB bonus data.,dissertation
0,Reminder: Your appointment at Bindura Hospital is tomorrow at 10AM.,dissertation
1,WhatsApp account compromised. Click www.verify-whatsapp-login.com now.,dissertation
1,You are selected for a loan approval. Send national ID and PIN.,dissertation
0,Your EcoCash transaction of USD 5.00 was completed successfully.,dissertation
1,Your Mukuru account was flagged. Verify identity now to avoid suspension.,dissertation
0,Your Mukuru transfer is ready for collection at the nearest branch.,dissertation
0,Your package is ready for pickup at the local post office.,dissertation
0,ZESA: Your token purchase was successful.,dissertation
1,ZIMRA Tax Refund: Submit your banking details to receive payment.,dissertation
