label,message,source
0,Church service starts at 9AM this Sunday in Bindura.,dataset1
0,Class timetable updated. Please check the university portal.,dataset1
1,Congratulations! You won USD500 EcoCash reward. Claim now.,dataset1
1,Customer Service: Your account has unusual login attempts. Confirm password urgently.,dataset1
1,EcoCash: Your wallet has been suspended. Confirm PIN immediately.,dataset1
1,Econet Alert: Your line will be disconnected in 24 hours. Verify now at http://econet-security-update.com,dataset1
0,Econet: You have successfully purchased a WhatsApp bundle.,dataset1
1,Final warning: SIM registration incomplete. Update details immediately.,dataset1
0,Happy birthday! Wishing you a wonderful year ahead.,dataset1
1,NetOne Promotion! Claim your free airtime reward here: bit.ly/free-netone,dataset1
0,NetOne: Recharge successful. You received 500MB bonus data.,dataset1
0,Reminder: Your appointment at Bindura Hospital is tomorrow at 10AM.,dataset1
1,WhatsApp account compromised. Click www.verify-whatsapp-login.com now.,dataset1
1,You are selected for a loan approval. Send national ID and PIN.,dataset1
0,Your EcoCash transaction of USD 5.00 was completed successfully.,dataset1
1,Your Mukuru account was flagged. Verify identity now to avoid suspension.,dataset1
0,Your Mukuru transfer is ready for collection at the nearest branch.,dataset1
0,Your package is ready for pickup at the local post office.,dataset1
0,ZESA: Your token purchase was successful.,dataset1
1,ZIMRA Tax Refund: Submit your banking details to receive payment.,dataset1
